发送时间：2018-03-26 23:09:29 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息 
发送时间：2018-03-26 23:16:26 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息 
发送时间：2018-03-26 23:19:05 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:POST data should be bytes or an iterable of bytes. It cannot be of type str. 
发送时间：2018-03-26 23:21:54 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:POST data should be bytes or an iterable of bytes. It cannot be of type str. 
发送时间：2018-03-26 23:22:41 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-26 23:23:32 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-26 23:27:42 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-26 23:31:53 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-26 23:33:23 	 服务器地址：http://http://site.baidu.com/:80/report/ 	 返回结果：失败信息:<urlopen error [Errno 11001] getaddrinfo failed> 
发送时间：2018-03-27 20:46:52 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-27 20:49:42 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-27 21:01:28 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-27 21:03:47 	 服务器地址：http://192.168.1.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2018-03-27 21:58:39 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:<urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2018-03-27 22:06:54 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:HTTP Error 404: Not Found 
发送时间：2018-03-27 22:07:51 	 服务器地址：http://127.0.0.1:8000/report/ 	 返回结果：失败信息:HTTP Error 404: Not Found 
发送时间：2018-03-27 22:09:29 	 服务器地址：http://127.0.0.1:8000/asset/report/ 	 返回结果：成功信息:成功接收到数据：{"model": "20207", "physical_disk_driver": [{"iface_type": "unknown", "model": "WDC WD5000LPVT-08G33T1 ATA Device", "manufacturer": "(\u6807\u51c6\u78c1\u76d8\u9a71\u52a8\u5668)", "capacity": 465, "sn": "     WD-WX21A53Y9747", "slot": 0}], "manufacturer": "LENOVO", "ram": [{"capacity": 2, "model": "\u7269\u7406\u5185\u5b58", "sn": "960E2F02", "manufacturer": "0000", "slot": "ChannelA-DIMM0"}, {"capacity": 4, "model": "\u7269\u7406\u5185\u5b58", "sn": "000AE51F", "manufacturer": "Transcend", "slot": "ChannelB-DIMM0"}], "os_type": "Windows", "os_distribution": "Microsoft", "cpu_core_count": 2, "cpu_count": 1, "os_release": "10 64bit  10.0.16299 ", "wake_up_type": 6, "sn": "00329-00000-00003-AA188", "asset_type": "server", "nic": [{"model": "[00000001] Realtek PCIe GBE Family Controller", "net_mask": "", "name": 1, "ip_address": "", "mac": "3C:97:0E:AB:37:5F"}, {"model": "[00000002] VMware Virtual Ethernet Adapter for VMnet1", "net_mask": ["255.255.255.0", "64"], "name": 2, "ip_address": "192.168.16.1", "mac": "00:50:56:C0:00:01"}, {"model": "[00000003] VMware Virtual Ethernet Adapter for VMnet8", "net_mask": ["255.255.0.0", "64"], "name": 3, "ip_address": "169.254.38.127", "mac": "00:50:56:C0:00:08"}, {"model": "[00000004] Broadcom 802.11n \u7f51\u7edc\u9002\u914d\u5668", "net_mask": ["255.255.255.0", "64"], "name": 4, "ip_address": "192.168.1.103", "mac": "BC:85:56:DD:91:32"}, {"model": "[00000005] Microsoft Wi-Fi Direct Virtual Adapter", "net_mask": "", "name": 5, "ip_address": "", "mac": "BE:85:56:DD:91:32"}, {"model": "[00000012] WAN Miniport (IP)", "net_mask": "", "name": 12, "ip_address": "", "mac": "D8:E8:20:52:41:53"}, {"model": "[00000013] WAN Miniport (IPv6)", "net_mask": "", "name": 13, "ip_address": "", "mac": "DC:4E:20:52:41:53"}, {"model": "[00000014] WAN Miniport (Network Monitor)", "net_mask": "", "name": 14, "ip_address": "", "mac": "DC:4E:20:52:41:53"}], "cpu_model": "Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz"} 
